id,,fclt_name,ctprvn_nm,sgnr_nm,legaldong_cd,legaldong_cd_si,legaldong_cd_gu,legalemd_nm,adstrd_cd,adstrd_nm,rdnmaddr_cd,rdnm_addr,zip_cd,grid_cd,x_cd,y_cd,opmt_plce,fstvl_bgn_dt,fstvl_bgn_dt_year,fstvl_bgn_dt_month,fstvl_bgn_dt_day,fstvl_end_dt,fstvl_end_dt_year,fstvl_end_dt_month,fstvl_end_dt_day,fstvl_cn,mnnst,auspc_instt,supt_instt,telno,hmpg,rlt_inf,data_stdde,prvd_agnc_cd,prvd_agnc_nm,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KC488PO20N000004,,희망달서 큰잔치,대구광역시,달서구,2729011000,27,27290,장기동,2729056800,장기동,2.73E+11,대구광역시 달서구 문화회관길 160 (장기동),42699,라마923611,35.84285866,128.5221241,웃는얼굴아트센터,20201016,2020,10,16,20201017,2020,10,17,"희망가득체험부스, 다문화 어울림제, 축하 콘서트 등",(재)달서문화재단+대구전업미술가협회+대구사회복지공동모금회,(재)달서문화재단,"달서구, 달서구의회",053-584-9711,http://www.dscf.okr.kr,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000005,,와룡민속한마당,대구광역시,달서구,2729010800,27,27290,이곡동,,,2.73E+11,대구광역시 달서구 계대동문로 77 (이곡동),42611,라마903626,35.85575426,128.500776,와룡아래공원,20200620,2020,6,20,20200620,2020,6,20,"민속씨름대회 및 동 대항전, 민속놀이체험마당, 축하콘서트, 먹거리 장터 등",성서지역발전회+달서구체육회,성서지역발전회+달서구체육회,"달서구, 달서구의회",053-667-2174,,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000006,,두류문화한마당,대구광역시,달서구,2729010200,27,27290,두류동,,,2.73E+11,대구광역시 달서구 야외음악당로 180 (두류동),42672,라마953621,35.85115165,128.5561993,코오롱야외음악당,20200522,2020,5,22,20200522,2020,5,22,"왕벚꽃 부스, 주민 노래자랑, 민속놀이마당 등",두류벚꽃축제추진위원회,두류벚꽃축제추진위원회,"달서구, 달서구의회",053-667-2174,,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000014,,코로나19에 따른 축제 일체 잠정 중단,대구광역시,동구,2714011600,27,27140,동호동,,,2.71E+11,대구광역시 동구 경안로 700 (동호동),41085,마마096638,35.86471972,128.7142948,금호강 둔치,20200101,2020,1,1,20201130,2020,11,30,코로나19에 따른 잠점 중단,대구동구청,대구동구청,,053-662-2465,http://ansim100in.com/,,20200417,3420000,대구광역시 동구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000018,,주안미디어문화축제,인천광역시,미추홀구,2817710500,28,28177,주안동,2817762000,주안1동,2.82E+11,인천광역시 미추홀구 경인로 351,22139,다사274402,37.458746,126.679586,옛시민회관 쉼터 등 미추홀구 전역,20200918,2020,9,18,20200920,2020,9,20,미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램,인천광역시 미추홀구,인천광역시 미추홀구,,032-880-7978,http://michu.incheon.kr/home/index.asp,,20200319,3510500,인천광역시 미추홀구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000027,,울주세계산악영화제,울산광역시,울주군,3171038034,31,31710,상북면,3171038000,상북면,3.17E+11,울산광역시 울주군 상북면 알프스온천5길 103-8,44952,마마420300,35.556348,129.067604,영남알프스 복합웰컴센터 일원,20200403,2020,4,3,20200407,2020,4,7,"클라이밍, 모험과 탐험 등 7개 섹션으로 구성한 40개국 150편의 영화상영과 힐링트래킹, 클라이밍, 파쿠르, 영남알프스 VR 체험 등 다양한 참여행사와 공연ㆍ전시 행사 등을 통해 관람객에게 차별화된 볼거리를 제공",울산광역시 울주군,사단법인 울주세계산악영화제,울산광역시 울주군의회,052-248-6451,http://www.umff.kr,,20191209,3730000,울산광역시 울주군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000028,,우시산국축제,울산광역시,울주군,3171034021,31,31710,웅촌면,3171034000,웅촌면,3.17E+11,울산광역시 울주군 웅촌면 새초천길 85,44966,마마555199,35.463038,129.213965,회야강 아리소 일원,20200406,2020,4,6,20200407,2020,4,7,농경문화생활과 창작예술문화 체험,우시산국축제추진위원회,우시산국축제추진위원회,"울산광역시 울주군, 울산광역시 울주군의회, 웅촌지역사회단체, 선갤러리문화관, 웅촌예술인협회",,,,20191209,3730000,울산광역시 울주군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000033,,봉숫골 꽃나들이 축제,경상남도,통영시,4822011700,48,48220,도남동,,,4.82E+11,경상남도 통영시 도남로 185 (도남동),53074,라라845487,34.82960109,128.4243196,용화사광장~용화 사거리,20200328,2020,3,28,20200329,2020,3,29,"고유제, 길놀이, 꽃나들이 퍼포먼스, 아동사생대회 등",봉숫골벚꽃축제위원장,"통영시, 봉평동","봉평동 전기관, 단체",055-650-3851,,,20200206,5330000,경상남도 통영시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000034,,통영한산대첩축제,경상남도,통영시,4822011700,48,48220,도남동,4822067000,봉평동,4.82E+11,경상남도 통영시 도남로 296-1,53079,라라853482,34.82567453,128.4334058,"도남관광단지, 한산앞바다 등 통영시 일원",20200811,2020,8,11,20200815,2020,8,15,"이순신장군 행렬 및 군점, 한산대첩 재현, 이순신 워터파크, 드론 라이트쇼",(재)한산대첩기념사업회,통영시,"문화체육관광부, 경상남도, 한국관광공사, 해군본부",055-644-5222,http://www.hansanf.org,,20200206,5330000,경상남도 통영시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000035,,한산도 바다체험축제,경상남도,통영시,4822036025,48,48220,한산면,4822036000,한산면,4.82E+11,경상남도 통영시 한산면 봉암1길 205-8,53093,라라924410,34.75930638,128.5100671,한산면 추봉리 봉암마을,20200620,2020,6,20,20200621,2020,6,21,"식전행사, 개막식, 맨손고기잡기, 바다보물찾기, 바지락캐기, 오션가약, 수상자전거, 대나무낚시체험, 후리그물고기잡이, 요트체험 등 각종 부대행사",한산면주민자치위원회,"통영시, 한산면",한산면 전 기관.단체,055-650-3600,,,20200206,5330000,경상남도 통영시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
